Name,Description,Aspect Count,Aspects,Hidden
Absolute Dark,"Engulf the area in total darkness that not even light can penetrate. All characters are invisible to other characters until the start of your next turn. ",1,Darkness (Aspects%2051560ac666db47f7a87735a87d8c0729/Darkness%207b5f4eed8a384ffeb7d384acb5b8d14b.csv),No
Annoyingly Nimble,"Passive. Before taking damage, you may roll mobility. If you roll higher than the damage amount, prevent all damage and move that many meters.",1,Wind (Aspects%2051560ac666db47f7a87735a87d8c0729/Wind%2074ca2d4930a146b09122c34d59e52281.csv),No
Aquatic Path,"Take X fatigue. Create a walkable bridge of water X meters long, starting from an adjacent area. ",1,Water (Aspects%2051560ac666db47f7a87735a87d8c0729/Water%2056e95afa52f74b4587f0041150209bd6.csv),No
Asphyxiate,Take X fatigue and choose X random enemies. Roll 2d4. Chosen enemies are deprived of breathing air and take that much damage and fatigue.,1,Wind (Aspects%2051560ac666db47f7a87735a87d8c0729/Wind%2074ca2d4930a146b09122c34d59e52281.csv),No
Aura of Deflection,"Until the start of your next turn, if an ally takes damage, prevent it, then take 1d4 fatigue. ",1,Light (Aspects%2051560ac666db47f7a87735a87d8c0729/Light%205eb70c67d6c5471cba5f52fdfcc351e8.csv),No
Aura of Empowerment,"Until the start of your next turn, allies have +1 boost die on their rolls for each point of fatigue you have.",1,Light (Aspects%2051560ac666db47f7a87735a87d8c0729/Light%205eb70c67d6c5471cba5f52fdfcc351e8.csv),No
Aura of Silence,"All sound in the area is cancelled for 3 minutes, or until the start of your next turn. ",1,Wind (Aspects%2051560ac666db47f7a87735a87d8c0729/Wind%2074ca2d4930a146b09122c34d59e52281.csv),No
Aura of Unburdening,"Until the start of your next turn, snag dice do not change the effect of your allies’ rolls.",1,Light (Aspects%2051560ac666db47f7a87735a87d8c0729/Light%205eb70c67d6c5471cba5f52fdfcc351e8.csv),No
Blinding Mist,"Roll X d4 dice and take that much fatigue. Enemies have +X snag dice on their rolls until the start of your next turn. ",1,Water (Aspects%2051560ac666db47f7a87735a87d8c0729/Water%2056e95afa52f74b4587f0041150209bd6.csv),No
Bloodthirst,"Passive. In combat, add 1d4 to every damage amount dealt. At the end of any turn you haven't dealt damage, take 2d12 damage.",1,Fire (Aspects%2051560ac666db47f7a87735a87d8c0729/Fire%20a04ec0845dfe481ea115e32bdd44fa14.csv),No
Cinder Storm,Summon a rain of fiery projectiles. Roll 2d6 and deal that much damage to each enemy. Deal 2d12 damage to yourself.,1,Fire (Aspects%2051560ac666db47f7a87735a87d8c0729/Fire%20a04ec0845dfe481ea115e32bdd44fa14.csv),No
Commune with Light,"If you are in combat, heal all of your fatigue. Your turn ends. You cannot make actions or take damage until after the next round.",1,Light (Aspects%2051560ac666db47f7a87735a87d8c0729/Light%205eb70c67d6c5471cba5f52fdfcc351e8.csv),No
Crackle,"Take X damage. Fire a crackling bolt of lightning at a target and the next X closest targets. All targets take 2d4 damage. ",1,Fire (Aspects%2051560ac666db47f7a87735a87d8c0729/Fire%20a04ec0845dfe481ea115e32bdd44fa14.csv),No
Crippling Shout,"Make a shout and use the air to amplify its volume. Roll 2d4. Deal that amount of fatigue to allies and yourself, then deal double that amount to enemies. ",1,Wind (Aspects%2051560ac666db47f7a87735a87d8c0729/Wind%2074ca2d4930a146b09122c34d59e52281.csv),No
Crystals of Immobility,"Take 1 fatigue for each character. All characters cannot move until the start of your next turn, or until they were moved by another force. ",1,Water (Aspects%2051560ac666db47f7a87735a87d8c0729/Water%2056e95afa52f74b4587f0041150209bd6.csv),No
Curse of Restlessness,Passive. Other nearby characters roll with +1 snag die.,1,Darkness (Aspects%2051560ac666db47f7a87735a87d8c0729/Darkness%207b5f4eed8a384ffeb7d384acb5b8d14b.csv),No
Eclipse,"Roll wit. Reduce the effect of all enemies’ rolls by the effect of your roll, to no less than 1.",1,Darkness (Aspects%2051560ac666db47f7a87735a87d8c0729/Darkness%207b5f4eed8a384ffeb7d384acb5b8d14b.csv),No
Fireblast,Take 1d6 damage. Deal 3d6 damage to a visible target.,1,Fire (Aspects%2051560ac666db47f7a87735a87d8c0729/Fire%20a04ec0845dfe481ea115e32bdd44fa14.csv),No
Fists of Fiery Fury,"The next time you deal damage, add your taken damage amount to it. (Example: if you've taken 8 damage, add 8 to your next damage amount dealt.)",1,Fire (Aspects%2051560ac666db47f7a87735a87d8c0729/Fire%20a04ec0845dfe481ea115e32bdd44fa14.csv),No
Frostbite,"The environment around you becomes freezing cold. Use another action to restore the previous environment. All other characters have +1 snag die. All other non-renari characters have an additional +1 snag die. ",1,Water (Aspects%2051560ac666db47f7a87735a87d8c0729/Water%2056e95afa52f74b4587f0041150209bd6.csv),No
Hand of Movement,Roll mobility. Summon a gust of wind which moves a visible target in a random direction equal to the effect.,1,Wind (Aspects%2051560ac666db47f7a87735a87d8c0729/Wind%2074ca2d4930a146b09122c34d59e52281.csv),No
Healing Glow,Take 1d4 fatigue. All characters heal damage equal to your fatigue.,1,Light (Aspects%2051560ac666db47f7a87735a87d8c0729/Light%205eb70c67d6c5471cba5f52fdfcc351e8.csv),No
Illusion of Identity,Take on the appearance of another character you have seen at least once. Take X fatigue and roll X d4 dice. Characters must roll wit higher than that amount to see through the disguise.,1,Darkness (Aspects%2051560ac666db47f7a87735a87d8c0729/Darkness%207b5f4eed8a384ffeb7d384acb5b8d14b.csv),No
Infernal Rage,Take X damage to create a swirling vortex of fire X meters wide. Roll 2d6 and deal that much damage to each character in the vortex.,1,Fire (Aspects%2051560ac666db47f7a87735a87d8c0729/Fire%20a04ec0845dfe481ea115e32bdd44fa14.csv),No
